Epic,Feature,Phase,Priority,Owner Role,Acceptance Criteria,Dependencies
Reviews,Implement merge-versions command,4,P1,Backend,"Authorized merge preserves provenance, supersedes link, audit trail",Version model
Reviews,Implement reject candidate action,4,P0,Backend,Rejected item records reason and does not alter graph,Review item
ContentBlocks,Create ContentBlock tables and APIs,5,P0,Backend,Families/variants/versions/members support ordered unit references,Core schema
ContentBlocks,Create ContentBlock from selected units,5,P0,Full-stack,User can select units and save ordered reusable block,Library/tray
ContentBlocks,Build ContentBlock detail page,5,P0,Frontend,"Detail shows ordered members, purpose, notes, where-used, insert action",ContentBlock APIs
Storyboard,Create Storyboard tables and APIs,5,P0,Backend,"Storyboards, snapshots, sections, slots exist with ordered composition",Core schema
Storyboard,Build Storyboard workspace shell,5,P0,Frontend,"Sections/slots layout renders with toolbar, tray, diagnostics panel placeholder",Storyboard APIs
Storyboard,Implement section CRUD/reorder,5,P0,Full-stack,User can add/rename/reorder/collapse sections; ordering persists,Storyboard shell
Storyboard,Implement slot CRUD/reorder,5,P0,Full-stack,"User can add gaps/slots, reorder slots, and persist purpose/required fields",Sections
Storyboard,Insert ContentUnit into slot,5,P0,Full-stack,User can add a selected content unit from search/library/tray to storyboard slot,Search/library
Storyboard,Insert ContentBlock into storyboard,5,P0,Full-stack,User can insert block and inspect underlying members,ContentBlocks
Storyboard,Implement slot swap/compare skeleton,5,P1,Frontend,User can open alternatives panel and swap selected unit/block,Search/recommendations
Storyboard,Create storyboard snapshots,5,P0,Full-stack,Snapshot preserves section/slot order and selected object refs immutably,Storyboard models
Storyboard,Add anchored comments,5,P0,Full-stack,"Comments can attach to storyboard, snapshot, section, or slot",Comments
Storyboard,Implement basic diagnostics,5,P1,AI/Search,"Duplicate, stale/unapproved, gap count, read-time warnings appear",Storyboard data
Permissions,Implement role model and auth stub,6,P0,Backend,Viewer/Contributor/Curator/Reviewer/Admin roles enforced for key actions,Auth foundation
Permissions,Prevent restricted content leakage in search,6,P0,Backend/Search,"Unauthorized content excluded from result cards, snippets, thumbnails, grouped family results",Permission model
Observability,Build ingestion job dashboard,6,P1,Admin/Backend,Admin can see jobs by status/stage/failure reason/duration,Job telemetry
Observability,Track search telemetry,6,P1,Search,"Queries, results, clicks, zero-result events, add-to-storyboard events captured",Search UI/API
Testing,Add Playwright core-flow tests,6,P0,QA/Frontend,"Upload, browse, search, review, storyboard core flows tested",Core features
Testing,Add backend integration tests for governance commands,6,P0,Backend,Approval/canonical/variant/similarity actions validate permissions and audit,Review/governance APIs
Pilot,Create demo walkthrough and script,6,P0,Product,Pilot demo can run from seeded corpus without engineering help,Seed data; core flows
Pilot,Performance pass,6,P1,Full-stack,Search/detail/library meet initial targets on pilot corpus,Telemetry
